Checklist #, Star Count, Image, Set, Player, Rarity Tier, Country, Supply
088, 0, QmQzpJUy8TNuLDU57A3TSNDiof9xcwQLQpzjo9sMbPJbST, Originals, Ki Sung-yueng, Bronze, South Korea, 77
089, 0, QmcyMRkcG4u4ZPvcEiGPD4nBiW2r1ZDJuEcNVQQoYDvj6e, Originals, Bryan Ruiz, Bronze, Costa Rica, 80
090, 0, QmcBzj4f2HtkabqhqEqv7rHRSuh6j5LEuKxf2uAUg4g7w4, Originals, Maya Yoshida, Bronze, Japan, 77
091, 0, QmUvptchFigJaXy95bZENzLv6hB4wsUPHpsWZYVy2a2Pt7, Originals, Nawaf Al Abed, Bronze, Saudi Arabia, 75
092, 0, QmRhiwA7rFoM7ymzF7MtPhq2hYTkGKYiVtkkHjbvzSmEhz, Originals, Lee Chung-yong, Bronze, South Korea, 80
093, 0, QmSxNYrxYEDmKkLXJwLwA4r9457DYvPXRufomkniKMKqtG, Originals, Gabriel Gómez, Bronze, Panama, 79
094, 0, QmdNuSy7MM73bM9sG9ax7TB4tQ8KrWxh6F9j6tqF4VS4Qm, Originals, Naïm Sliti, Bronze, Tunisia, 78
095, 0, QmcLuzJE2TCz5JFEwra1DkBj6F8cdRP3qowdtZ1D4KyLeD, Originals, Reza Ghoochannejhad, Bronze, Iran, 78
096, 0, QmayTC1rPGZNKTg4ELebScB9ZY4BeVpGCZ4XmVNV8cALWe, Originals, Mile Jedinak, Bronze, Australia, 78
097, 0, QmdodCw1R9iU8EAVz2YkbD2cTaj8knopTb9ZcyggKvLLEZ, Originals, Mohammad Al-Sahlawi, Bronze, Saudi Arabia, 78
098, 0, QmSAvsRQLgX21snZN7UU8L7rB9fQ6VCFEkvGeKHBBymWZQ, Originals, Aron Gunnarsson, Bronze, Iceland, 80
099, 0, QmSrqGM6WY6uYN4TqTHXBivvs2FFUPLNhj5NCLHi14KScd, Originals, Blas Pérez, Bronze, Panama, 79
100, 0, QmZRJ5pBwpjAYrbyLqRQPj5TsAQPX3uscHuuZMkoqpg5SF, Iconics, Lionel Messi, Card of the Day, Argentina, 13
101, 0, QmRLFhMbRVaSmu2oq8db2B95J4FqG8KLXH7SxixeYWK4Wf, Iconics, Cristiano Ronaldo, Card of the Day, Portugal, 12
102, 0, QmNpuXTM3uWkWRXijFbVeA8GXtVzQXLiK3Q2vvi8h956d9, Iconics, Neymar, Card of the Day, Brazil, 9
103, 0, Qmdriy31iD2Y9uX4P4gMFnaz36SQoCvtDPMBMkgFKATsY3, Iconics, Mohamed Salah, Card of the Day, Egypt, 7
104, 0, QmQDCiQfiY6DJv6Vwe1RamTeBDVMn12FcHHLSyc526gpDD, Iconics, Robert Lewandowski, Card of the Day, Poland, 5
105, 0, QmPcbLsP9m2HMcPvv2rr9VA4KiRJDQaAzZQCVAyoKVYLSR, Iconics, Kevin De Bruyne, Card of the Day, Belgium, 8
106, 0, Qmf9WtWb1gmqxihsbZDboYLb4VTsDRaDAVZKPAuEKWHMGT, Iconics, Luka Modrić, Card of the Day, Croatia, 9
107, 0, QmbVBw82XK5fcJnMFUKRczzkRCbXwFKUm8Zo9hJkZMLmpF, Iconics, Eden Hazard, Card of the Day, Belgium, 9
108, 0, QmYDPft6433qVnGBZriWAgVeAUHNrG2pipjU6Z2cNwq86U, Iconics, Sergio Ramos, Card of the Day, Spain, 2
109, 0, QmXmhiSzC6Gbksopd32CJ2HxFEuMRBNUMGkkV7dHRQwFZw, Iconics, Toni Kroos, Card of the Day, Germany, 5
110, 0, QmdDMkQ8tKG1SUaXE54kDeKeLdK1yN21qZk6aoy4Uv1MCR, Iconics, Luis Suárez, Card of the Day, Uruguay, 5
111, 0, QmahfkqALsxTVNYgF8prRfBQcinVh5wHuZL64qjG99n6Sm, Iconics, Harry Kane, Card of the Day, England, 15
112, 0, QmRAfQb1Mzw695FAJS21vDD1ckeFG1fuyKnVVoUHR7fB1B, Iconics, Sergio Agüero, Card of the Day, Argentina, 7
113, 0, QmaMHSqAxKvUfjATy4VmNbXvbkYnPoqwrH4SXebVYZUhpg, Iconics, David de Gea, Card of the Day, Spain, 19
114, 0, QmU8LxSPz4oqabhGvD9HdtPFANXhddNbTF25guUazq4x4v, Iconics, Antoine Griezmann, Card of the Day, France, 7
115, 0, QmQA1PMxLMHpYLYWJcRbBiMLWscwKfXo8zhDchgUvrcpZT, Iconics, N'Golo Kanté, Bonus Card, France, 32
116, 0, QmQmpMR1w63uZjHSS9vjcUcH63KxnR8HByzgWPVzFdhB1n, Iconics, Edinson Cavani, Bonus Card, Uruguay, 16
117, 0, QmZT1ZEchE3ef6EWTvJkvBsYBWFTStLu1od1ccnkmjdgwb, Iconics, Paul Pogba, Card of the Day, France, 4
118, 0, QmW4jdjnrastyf2AykFSWJqGZPabu75sqUVGosTSpSCSKK, Iconics, Marcelo, Card of the Day, Brazil, 13
119, 0, QmTM8DFZWiZwCaY21tfSe4LBbKCCdbpZK1X73r4ZvwkCqU, Iconics, James Rodríguez, Card of the Day, Colombia, 6
120, 0, Qmasbpc973TkGWvTevseim8iEqzPwpdgvkVY5TQ627utXe, Iconics, Christian Eriksen, Card of the Day, Denmark, 4
121, 0, QmXbrWkmMsyFnFPAVLYaPoiWZRdC3xGpZgRrL5Xrq5X8pu, Iconics, Thiago, Bonus Card, Spain, 16
122, 0, QmYnPqpytVVDAo7WgykUMjLfXch8he9HYNemVE1MdDPj3d, Iconics, Mats Hummels, Bonus Card, Germany, 18
123, 0, QmdnpJXUHhjw3kDvtBJQWrRY5Q2EZvrvcgQYEi782NARjn, Iconics, Mesut Özil, Bonus Card, Germany, 16
124, 0, QmQvGH7wri5vqtKqGuPCkg4o4gWTg9f416Xyt7i1UdzYEK, Iconics, Son Heung-min, Card of the Day, South Korea, 7
125, 0, QmPk2f7P1eixK3RLjmAJh8Fr8BkRea9AJg44cMJU1cxXnW, Iconics, Sadio Mané, Card of the Day, Senegal, 24
126, 0, QmThGDPSgdxk2dDgh3L3gxjurQRPRQNaz7MDnBuPJj2Tqr, Iconics, Dele Alli, Card of the Day, England, 7
127, 0, QmYkjj3jLoQpq23K7B72WqfEWVTdi6a3mrYm9DFm5xHXzb, Iconics, Keylor Navas, Bonus Card, Costa Rica, 24
128, 0, QmcE9PT1bWS6fRhGTF2wefYL2kisYNJVx3mXqLet3UWLAB, Iconics, Javier Hernández, Card of the Day, Mexico, 10
129, 0, QmUMqeeBhkFT2y3tAvYAA5wxbe8UQ6qjRDTGC1DvXa97wq, Iconics, Keisuke Honda, Card of the Day, Japan, 10
130, 0, Qma5CpFKDBb3dKy3V4LKzSSGgo3MnKgpWeiH2Am8v5e8bL, Iconics, Dani Alves, Bonus Card, Brazil, 17
131, 0, QmP8sWys4FNpQkYCPoLbCBWChwXSXczYZzGWv2noouui1r, Iconics, Zlatan Ibrahimović, Bonus Card, Sweden, 14
007, 1, Qmd5DBGsaeScxxqrB7Xmi3abK24zqx4DnwY6CQRGBZSdqb, Originals, Eden Hazard, Gold, Belgium, 74
013, 1, QmPzwhKZyhdie48xT6nFcW8CMkD9kz56NxbVM7RZsoMJEc, Originals, Kylian Mbappé, Gold, France, 70
016, 1, Qmafj7ShBgibLoS8yrYBBD7KphwPZPCRq5jRtr6opz8NvV, Originals, Antoine Griezmann, Gold, France, 62
019, 1, QmUXetpbGfBy2JuLowT9dtrcdQJ9GgcixgyddXWXo9EjD5, Originals, Paul Pogba, Gold, France, 87
030, 1, QmfADUDxupVBQPbNR5yo5cRFKBHGQmSpMXnxtYTkTTZFfw, Originals, Thibaut Courtois, Silver, Belgium, 162
041, 1, QmQvjcGXq2Kb2q2quXgrk6y7zr68cXQwre54vfiTNRM5xu, Originals, Hugo Lloris, Silver, France, 153
048, 1, QmawJzdsP9EaxVxcQMkaHhKNPgesigiLdFvokUzh9ZzqF7, Originals, Dele Alli, Silver, England, 144
051, 1, QmdFxtcfi8qwww4NniFbMJuU7tTR4EDj79uLseVSZpSohJ, Originals, Raphaël Varane, Bronze, France, 78
064, 1, QmTYT3im5aVjCX8jVBDer8YJedD4Z5KEnJtbVPr32eEN3e, Originals, Mario Mandžukić, Bronze, Croatia, 78
064, 2, Qmb89ETw9b1MRqRySxU8DxuQFBptiF1uN7wgkesWMwxAgF, Originals, Mario Mandžukić, Bronze, Croatia, 78
